masse_A
t;x;y
7,891600000E0;-1,398500785E-2;1,939489496E-2
7,908277778E0;-1,401009443E-2;1,939587308E-2
7,924955556E0;-1,407367077E-2;1,941678585E-2
7,941600000E0;-1,420941101E-2;1,936294764E-2
7,958266667E0;-1,460021312E-2;1,921069774E-2
7,974933333E0;-1,471461966E-2;1,909284414E-2
7,991622222E0;-1,480318026E-2;1,918760557E-2
8,008255556E0;-1,471479646E-2;1,921460625E-2
8,024911111E0;-1,476927768E-2;1,930513531E-2
8,041566667E0;-1,474694106E-2;1,929195193E-2
8,058244444E0;-1,481585738E-2;1,929598145E-2
8,074922222E0;-1,490603911E-2;1,928489911E-2
8,091555556E0;-1,491011284E-2;1,929576353E-2
8,108222222E0;-1,491097482E-2;1,929799077E-2
8,124877778E0;-1,493458783E-2;1,930823057E-2
8,141555556E0;-1,500354044E-2;1,933393686E-2
8,158211111E0;-1,504038400E-2;1,937632801E-2
8,174877778E0;-1,502082726E-2;1,940589318E-2
8,191533333E0;-1,503130930E-2;1,940299241E-2
8,208200000E0;-1,511880941E-2;1,939898829E-2
8,224866667E0;-1,513569418E-2;1,939070683E-2
8,241533333E0;-1,522949184E-2;1,939573086E-2
8,258177778E0;-1,525152184E-2;1,939927951E-2
8,274855556E0;-1,523279459E-2;1,940420472E-2
8,291500000E0;-1,532888241E-2;1,940881906E-2
8,308166667E0;-1,529858900E-2;1,943252769E-2
8,324844444E0;-1,543659419E-2;1,950910758E-2
8,341500000E0;-1,556054589E-2;1,947075024E-2
8,358166667E0;-1,550993634E-2;1,950755732E-2
8,374833333E0;-1,552767250E-2;1,944697734E-2
8,391488889E0;-1,564180696E-2;1,949974765E-2
8,408155556E0;-1,561854277E-2;1,950369422E-2
8,424811111E0;-1,565207623E-2;1,950661976E-2
8,441466667E0;-1,566607200E-2;1,950964740E-2
8,458133333E0;-1,566657789E-2;1,950293330E-2
8,474811111E0;-1,568841072E-2;1,950630089E-2
8,491455556E0;-1,572122685E-2;1,950831849E-2
8,508144444E0;-1,575651008E-2;1,950722294E-2
8,524788889E0;-1,583674139E-2;1,951297537E-2
8,541455556E0;-1,591419484E-2;1,946526133E-2
8,558122222E0;-1,616009932E-2;1,936740689E-2
8,574777778E0;-1,626132969E-2;1,935610190E-2
8,591433333E0;-1,624279840E-2;1,934513807E-2
8,608100000E0;-1,628209641E-2;1,938677520E-2
8,624766667E0;-1,628098242E-2;1,940299815E-2
8,641422222E0;-1,630178419E-2;1,940685376E-2
8,658088889E0;-1,633178862E-2;1,940612075E-2
8,674744444E0;-1,631185255E-2;1,940471741E-2
8,691411111E0;-1,633247639E-2;1,940559872E-2
8,708088889E0;-1,633441650E-2;1,941197762E-2
8,724744444E0;-1,634309127E-2;1,941676258E-2
8,741411111E0;-1,638683567E-2;1,941036545E-2
8,758055556E0;-1,640559915E-2;1,939908332E-2
8,774733333E0;-1,655045167E-2;1,932693923E-2
8,791388889E0;-1,686890916E-2;1,917054190E-2
8,808044444E0;-1,702633184E-2;1,906234567E-2
8,824722222E0;-1,711505269E-2;1,905009544E-2
8,841377778E0;-1,712128496E-2;1,906973890E-2
8,858033333E0;-1,712612797E-2;1,909446363E-2
8,874700000E0;-1,710638583E-2;1,912055659E-2
8,891355556E0;-1,714086964E-2;1,911556595E-2
8,908033333E0;-1,719387596E-2;1,909489225E-2
8,924700000E0;-1,722274035E-2;1,909045019E-2
8,941355556E0;-1,723318367E-2;1,909016421E-2
8,958022222E0;-1,732209833E-2;1,907960157E-2
8,974677778E0;-1,753741586E-2;1,899556028E-2
8,991344444E0;-1,798108374E-2;1,883604692E-2
9,008011111E0;-1,810286041E-2;1,879804214E-2
9,024655556E0;-1,809301004E-2;1,881884196E-2
9,041333333E0;-1,815314613E-2;1,878090233E-2
9,057988889E0;-1,818728798E-2;1,877772525E-2
9,074655556E0;-1,816039723E-2;1,880134418E-2
9,091322222E0;-1,820857870E-2;1,879238533E-2
9,107977778E0;-1,819340328E-2;1,880642878E-2
9,124644444E0;-1,818870954E-2;1,879766893E-2
9,141311111E0;-1,821269933E-2;1,878613028E-2
