masse_A
t;x;y
7,998000000E-1;-1,084674361E-2;2,951494860E-4
8,164555556E-1;-1,079946141E-2;-8,960127120E-5
8,331222222E-1;-1,071832073E-2;-2,930594798E-4
8,498000000E-1;-1,063640735E-2;-9,711766845E-4
8,664555556E-1;-1,042793248E-2;-1,450279700E-3
8,831111111E-1;-1,051283648E-2;-1,360712695E-3
8,997777778E-1;-1,045587880E-2;-1,567523417E-3
9,164555556E-1;-1,035668207E-2;-1,929444768E-3
9,331000000E-1;-1,020734928E-2;-2,464709876E-3
9,498000000E-1;-1,006852649E-2;-2,689371787E-3
9,664222222E-1;-9,934893143E-3;-2,789968536E-3
9,830777778E-1;-9,766085280E-3;-3,110867896E-3
9,997555556E-1;-9,651322765E-3;-3,321043601E-3
1,016422222E0;-9,614657951E-3;-3,427656270E-3
1,033066667E0;-9,406614009E-3;-3,540231419E-3
1,049744444E0;-9,252376373E-3;-3,841559716E-3
1,066411111E0;-9,154111268E-3;-4,334815921E-3
1,083066667E0;-8,946680845E-3;-4,532401476E-3
1,099777778E0;-8,948705081E-3;-4,556356277E-3
1,116433333E0;-8,812236448E-3;-4,734459978E-3
1,133055556E0;-8,754263630E-3;-4,868248001E-3
1,149722222E0;-8,528991332E-3;-5,136034296E-3
1,166388889E0;-8,314419938E-3;-5,371506432E-3
1,183055556E0;-8,175980495E-3;-5,459145886E-3
1,199700000E0;-8,144448062E-3;-5,504347336E-3
1,216366667E0;-8,039410575E-3;-5,625377654E-3
1,233022222E0;-7,773795471E-3;-5,985257378E-3
1,249688889E0;-7,519106307E-3;-6,096603424E-3
1,266355556E0;-7,491103205E-3;-6,135099857E-3
1,283011111E0;-7,433567357E-3;-6,227944137E-3
1,299688889E0;-7,411982417E-3;-6,313946315E-3
1,316333333E0;-7,152467731E-3;-6,451556633E-3
1,333000000E0;-6,725606889E-3;-6,683443500E-3
1,349677778E0;-6,523302670E-3;-6,676911853E-3
1,366355556E0;-6,500428638E-3;-6,661887334E-3
1,382988889E0;-6,463096716E-3;-6,792547671E-3
1,399655556E0;-6,463245441E-3;-6,888446216E-3
1,416322222E0;-6,426641343E-3;-6,912400744E-3
1,432988889E0;-6,065968260E-3;-7,072568014E-3
1,449644444E0;-5,390610132E-3;-7,392447168E-3
1,466322222E0;-5,175549553E-3;-7,363529023E-3
1,482988889E0;-5,176141713E-3;-7,311191235E-3
1,499644444E0;-5,043217240E-3;-7,422242439E-3
1,516311111E0;-4,829818778E-3;-7,581740102E-3
1,532966667E0;-4,838865353E-3;-7,588710020E-3
1,549633333E0;-4,779883654E-3;-7,594980406E-3
1,566300000E0;-4,421266180E-3;-7,758835663E-3
1,582944444E0;-3,984634355E-3;-7,830760944E-3
1,599633333E0;-3,927469211E-3;-7,738803363E-3
1,616277778E0;-3,915719309E-3;-7,690624486E-3
1,632933333E0;-3,760569115E-3;-7,783146190E-3
1,649588889E0;-3,505190743E-3;-7,925323212E-3
1,666266667E0;-3,226057798E-3;-7,902342321E-3
1,682933333E0;-3,229107842E-3;-7,882051156E-3
1,699577778E0;-2,989778397E-3;-7,980965735E-3
1,716244444E0;-2,657200981E-3;-8,101438586E-3
1,732911111E0;-2,518266783E-3;-8,112461022E-3
1,749566667E0;-2,512605239E-3;-8,072070014E-3
1,766233333E0;-2,394144114E-3;-8,034967696E-3
1,782911111E0;-2,208454490E-3;-8,024013661E-3
1,799588889E0;-2,194190129E-3;-8,062783200E-3
1,816244444E0;-2,138981415E-3;-8,091972396E-3
1,832922222E0;-1,720808948E-3;-8,132714027E-3
1,849611111E0;-1,412618606E-3;-8,167439291E-3
1,866233333E0;-1,386531046E-3;-8,128499566E-3
1,882877778E0;-1,314989881E-3;-8,162520409E-3
1,899533333E0;-1,232258033E-3;-8,244735169E-3
1,916188889E0;-9,724372048E-4;-8,328873594E-3
1,932866667E0;-7,380384847E-4;-8,331678333E-3
1,949522222E0;-4,853819220E-4;-8,280096414E-3
1,966200000E0;-4,100539924E-4;-8,197723975E-3
1,982844444E0;-3,185723727E-4;-8,218708993E-3
1,999522222E0;-2,223058710E-4;-8,280307059E-3
2,016188889E0;-1,735735094E-4;-8,311291035E-3
2,032844444E0;-1,296676732E-4;-8,318790614E-3
2,049511111E0;1,519665553E-4;-8,316381804E-3
2,066155556E0;4,428561900E-4;-8,208433783E-3
2,082855556E0;7,152976433E-4;-8,136732590E-3
2,099500000E0;9,105083458E-4;-8,058402813E-3
2,116144444E0;9,812332393E-4;-8,048169249E-3
2,132822222E0;1,082806703E-3;-8,067581993E-3
2,149511111E0;1,137816980E-3;-8,095560677E-3
2,166155556E0;1,234837137E-3;-8,096007700E-3
2,182811111E0;1,414209318E-3;-8,007512706E-3
2,199455556E0;1,551316324E-3;-7,958670087E-3
2,216144444E0;1,636436870E-3;-7,938635893E-3
2,232788889E0;1,692241134E-3;-7,940786969E-3
2,249444444E0;1,764377258E-3;-7,928244477E-3
2,266122222E0;1,844240226E-3;-7,915874517E-3
2,282777778E0;1,870330670E-3;-7,905078901E-3
2,299444444E0;1,889835159E-3;-7,908048589E-3
2,316111111E0;1,966006324E-3;-7,896602469E-3
2,332766667E0;1,964451386E-3;-7,929711948E-3
2,349477778E0;2,045276412E-3;-7,927862589E-3
2,366088889E0;2,579439460E-3;-7,814826161E-3
2,382766667E0;3,196738556E-3;-7,482880653E-3
2,399411111E0;3,232994399E-3;-7,291549979E-3
2,416111111E0;3,239469142E-3;-7,267188014E-3
2,432733333E0;3,396585849E-3;-7,294454858E-3
2,449400000E0;3,467175408E-3;-7,369151441E-3
2,466055556E0;3,445554074E-3;-7,377501928E-3
2,482722222E0;3,453038442E-3;-7,333438532E-3
2,499400000E0;3,593267340E-3;-7,288413745E-3
2,516055556E0;3,760480862E-3;-7,274868201E-3
2,532711111E0;3,794066211E-3;-7,255969772E-3
2,549366667E0;3,910464353E-3;-7,230722782E-3
2,566033333E0;4,019674697E-3;-7,150284606E-3
2,582700000E0;3,998857105E-3;-7,167505879E-3
2,599355556E0;4,091276710E-3;-7,159986756E-3
2,616022222E0;4,118800422E-3;-7,174537308E-3
2,632688889E0;4,162686554E-3;-7,178017328E-3
2,649355556E0;4,205514217E-3;-7,175936726E-3
2,666066667E0;4,227829380E-3;-7,184534023E-3
2,682677778E0;4,431638119E-3;-7,161871601E-3
2,699333333E0;4,821682044E-3;-6,933148556E-3
2,716000000E0;4,918152223E-3;-6,838391485E-3
2,732677778E0;4,860998140E-3;-6,849936511E-3
