masse_A
t;x;y
5,370833333E0;-2,263396220E-2;6,388839244E-4
5,387511111E0;-2,266373970E-2;6,730927502E-4
5,404166667E0;-2,269795850E-2;6,734619397E-4
5,420833333E0;-2,269307435E-2;6,760470937E-4
5,437511111E0;-2,272675188E-2;7,569520985E-4
5,454155556E0;-2,274411937E-2;7,672982520E-4
5,470844444E0;-2,276921430E-2;7,797825341E-4
5,487477778E0;-2,278614284E-2;7,893027924E-4
5,504133333E0;-2,278287355E-2;1,082465700E-3
5,520811111E0;-2,276305276E-2;1,109842481E-3
5,537488889E0;-2,270501410E-2;1,119566522E-3
5,554144444E0;-2,266723846E-2;1,093545891E-3
5,570788889E0;-2,266647961E-2;9,966587086E-4
5,587455556E0;-2,269603396E-2;9,732188130E-4
5,604122222E0;-2,270095442E-2;9,976545132E-4
5,620788889E0;-2,274017311E-2;1,061845717E-3
5,637433333E0;-2,277023308E-2;1,119581779E-3
5,654111111E0;-2,279487784E-2;1,136488861E-3
5,670777778E0;-2,281007515E-2;1,158994356E-3
5,687422222E0;-2,282894842E-2;1,165889275E-3
5,704100000E0;-2,285910061E-2;1,196128848E-3
5,720744444E0;-2,287390297E-2;1,213195680E-3
5,737422222E0;-2,287923109E-2;1,224631087E-3
5,754122222E0;-2,288684866E-2;1,373974649E-3
5,770744444E0;-2,289261610E-2;1,389344873E-3
5,787411111E0;-2,292127013E-2;1,399042677E-3
5,804066667E0;-2,288990631E-2;1,412737534E-3
5,820733333E0;-2,288833160E-2;1,392462309E-3
5,837388889E0;-2,288119174E-2;1,303066895E-3
5,854055556E0;-2,285291870E-2;1,231003128E-3
5,870711111E0;-2,284136103E-2;1,202572296E-3
5,887377778E0;-2,286416735E-2;1,212470915E-3
5,904044444E0;-2,287718274E-2;1,343226842E-3
5,920700000E0;-2,292139761E-2;1,393625649E-3
5,937355556E0;-2,290157490E-2;1,410577904E-3
5,954033333E0;-2,288512649E-2;1,410475720E-3
5,970744444E0;-2,289389751E-2;1,405244239E-3
5,987355556E0;-2,291548498E-2;1,411597317E-3
6,004022222E0;-2,294573870E-2;1,437301771E-3
6,020688889E0;-2,297124099E-2;1,459260845E-3
6,037355556E0;-2,296249029E-2;1,626666484E-3
6,054011111E0;-2,296092224E-2;1,613031479E-3
6,070666667E0;-2,296860540E-2;1,620143864E-3
6,087333333E0;-2,296559962E-2;1,606620258E-3
6,104000000E0;-2,297589851E-2;1,518786961E-3
6,120666667E0;-2,297720561E-2;1,518541912E-3
6,137311111E0;-2,297950077E-2;1,517710948E-3
6,153988889E0;-2,298843438E-2;1,564112968E-3
6,170644444E0;-2,299956522E-2;1,613229623E-3
6,187300000E0;-2,301572061E-2;1,626484115E-3
6,203977778E0;-2,304538856E-2;1,632978481E-3
6,220622222E0;-2,307623177E-2;1,631235934E-3
6,237311111E0;-2,307873720E-2;1,652483440E-3
6,253966667E0;-2,308263241E-2;1,650572740E-3
6,270622222E0;-2,307461597E-2;1,668008239E-3
6,287277778E0;-2,308476800E-2;1,653648664E-3
6,303955556E0;-2,309638781E-2;1,658563760E-3
6,320622222E0;-2,310898207E-2;1,704680992E-3
6,337277778E0;-2,312462992E-2;1,735298853E-3
6,353933333E0;-2,312577496E-2;1,746030967E-3
6,370588889E0;-2,311537737E-2;1,742687375E-3
6,387266667E0;-2,315161688E-2;1,751131224E-3
6,403922222E0;-2,317767604E-2;1,741251917E-3
6,420588889E0;-2,318002123E-2;1,737446597E-3
6,437255556E0;-2,318058562E-2;1,774922545E-3
6,453911111E0;-2,313122150E-2;1,999324778E-3
6,470566667E0;-2,305600817E-2;2,076926268E-3
6,487266667E0;-2,299734300E-2;2,125258884E-3
6,503888889E0;-2,298834168E-2;2,101499815E-3
6,520566667E0;-2,300958771E-2;2,115755089E-3
6,537244444E0;-2,309209856E-2;2,133212392E-3
6,553877778E0;-2,310766264E-2;2,146083536E-3
6,570555556E0;-2,310192655E-2;2,158322791E-3
6,587222222E0;-2,306510281E-2;2,163173180E-3
6,603877778E0;-2,309267538E-2;2,163143580E-3
6,620533333E0;-2,311711831E-2;2,160622783E-3
6,637211111E0;-2,314229712E-2;2,179732850E-3
6,653866667E0;-2,316488020E-2;2,218292663E-3
6,670522222E0;-2,317644659E-2;2,240462281E-3
6,687177778E0;-2,316424329E-2;2,251721612E-3
6,703855556E0;-2,319267300E-2;2,252119592E-3
6,720522222E0;-2,318866692E-2;2,254204102E-3
6,737166667E0;-2,319194479E-2;2,244549511E-3
6,753844444E0;-2,319121870E-2;2,253308095E-3
6,770500000E0;-2,319253910E-2;2,260179055E-3
6,787155556E0;-2,320390359E-2;2,274234141E-3
6,803822222E0;-2,321393720E-2;2,280654003E-3
6,820477778E0;-2,322371272E-2;2,287495234E-3
6,837166667E0;-2,321248947E-2;2,305089270E-3
6,853822222E0;-2,319575269E-2;2,449579647E-3
6,870477778E0;-2,311650770E-2;2,677224517E-3
6,887144444E0;-2,309561524E-2;2,658138766E-3
6,903800000E0;-2,305812615E-2;2,671197292E-3
6,920544444E0;-2,308655866E-2;2,672550773E-3
6,937133333E0;-2,310705439E-2;2,685496747E-3
6,953788889E0;-2,316246397E-2;2,714848307E-3
6,970444444E0;-2,318615766E-2;2,718330911E-3
6,987111111E0;-2,317712661E-2;2,709369227E-3
7,003800000E0;-2,314872422E-2;2,711186488E-3
7,020455556E0;-2,316867609E-2;2,693073107E-3
7,037100000E0;-2,319044574E-2;2,675174814E-3
7,053755556E0;-2,321093650E-2;2,675488736E-3
7,070422222E0;-2,320851373E-2;2,675277972E-3
7,087088889E0;-2,318583352E-2;2,684175115E-3
7,103744444E0;-2,319143606E-2;2,696476602E-3
7,120411111E0;-2,322009169E-2;2,694393355E-3
7,137077778E0;-2,321397798E-2;2,696511198E-3
7,153755556E0;-2,320991204E-2;2,708364040E-3
7,170400000E0;-2,322098703E-2;2,702662157E-3
7,187066667E0;-2,321169401E-2;2,695932309E-3
7,203722222E0;-2,321977643E-2;2,710073060E-3
7,220377778E0;-2,327272850E-2;2,736577841E-3
7,237055556E0;-2,328065942E-2;2,759251665E-3
7,253711111E0;-2,329210060E-2;2,777989426E-3
7,270366667E0;-2,321541969E-2;2,980967438E-3
7,287033333E0;-2,321868273E-2;2,973626906E-3
7,303722222E0;-2,319902667E-2;2,978663756E-3
7,320355556E0;-2,320721160E-2;2,991762487E-3
7,337033333E0;-2,322925011E-2;2,997010026E-3
7,353688889E0;-2,325918253E-2;3,006624172E-3
7,370344444E0;-2,325469374E-2;3,003728826E-3
7,387011111E0;-2,327334337E-2;3,007426598E-3
7,403677778E0;-2,326321911E-2;3,012674095E-3
7,420377778E0;-2,327967705E-2;3,000986368E-3
7,437011111E0;-2,329139856E-2;2,999197599E-3
7,453677778E0;-2,328875580E-2;3,007747778E-3
7,470322222E0;-2,330332765E-2;3,022902391E-3
7,486988889E0;-2,329816929E-2;3,014109767E-3
7,503655556E0;-2,329931544E-2;3,011108026E-3
7,520422222E0;-2,329992307E-2;3,004218947E-3
7,537000000E0;-2,330055101E-2;3,010109747E-3
7,553633333E0;-2,331154220E-2;3,015792948E-3
7,570344444E0;-2,331541916E-2;3,054966262E-3
7,586966667E0;-2,333062759E-2;3,080583003E-3
7,603622222E0;-2,331757134E-2;3,088077215E-3
7,620322222E0;-2,331402364E-2;3,076583167E-3
7,636955556E0;-2,330719465E-2;3,080710662E-3
7,653622222E0;-2,330728393E-2;3,082457586E-3
7,670311111E0;-2,330501784E-2;3,085207098E-3
7,686955556E0;-2,331416804E-2;3,089615301E-3
7,703611111E0;-2,331715001E-2;3,094227538E-3
7,720311111E0;-2,330830396E-2;3,099986973E-3
7,736944444E0;-2,331207284E-2;3,095532879E-3
7,753600000E0;-2,330758596E-2;3,099528258E-3
7,770255556E0;-2,331582484E-2;3,097406573E-3
7,786922222E0;-2,331408910E-2;3,096582768E-3
7,803577778E0;-2,330554542E-2;3,097526447E-3
7,820233333E0;-2,331055950E-2;3,101597955E-3
7,836922222E0;-2,329634448E-2;3,268296849E-3
7,853566667E0;-2,328445165E-2;3,316330120E-3
7,870222222E0;-2,328982446E-2;3,335025816E-3
7,886900000E0;-2,328900696E-2;3,347868284E-3
7,903555556E0;-2,328932276E-2;3,326933972E-3
7,920211111E0;-2,329206387E-2;3,322537374E-3
7,936900000E0;-2,329938592E-2;3,318349590E-3
7,953544444E0;-2,329291783E-2;3,335873924E-3
7,970222222E0;-2,328557875E-2;3,338791412E-3
7,986877778E0;-2,329128805E-2;3,332882822E-3
8,003533333E0;-2,329147442E-2;3,316026792E-3
8,020200000E0;-2,329373962E-2;3,310226284E-3
8,036877778E0;-2,320781744E-2;3,619020768E-3
8,053533333E0;-2,310834068E-2;3,734721041E-3
8,070200000E0;-2,306964706E-2;3,730358138E-3
8,086844444E0;-2,308236929E-2;3,697386958E-3
8,103500000E0;-2,308459748E-2;3,721368139E-3
8,120177778E0;-2,310824770E-2;3,734004697E-3
8,136866667E0;-2,310999511E-2;3,760299169E-3
8,153488889E0;-2,318231393E-2;3,821044595E-3
8,170166667E0;-2,316186541E-2;3,810372154E-3
8,186811111E0;-2,310500446E-2;3,764722922E-3
8,203488889E0;-2,310023619E-2;3,752155922E-3
8,220144444E0;-2,314751095E-2;3,802787650E-3
8,236800000E0;-2,315497319E-2;3,838580832E-3
8,253477778E0;-2,318845019E-2;3,837933780E-3
8,270144444E0;-2,318054864E-2;3,835212051E-3
8,286788889E0;-2,318627506E-2;3,838693233E-3
8,303455556E0;-2,318742375E-2;3,836171898E-3
8,320111111E0;-2,318223004E-2;3,852993591E-3
8,336766667E0;-2,318233743E-2;3,850389873E-3
8,353455556E0;-2,318348962E-2;3,854028129E-3
8,370100000E0;-2,319886891E-2;3,902086178E-3
8,386777778E0;-2,319841730E-2;3,920768187E-3
8,403433333E0;-2,319415452E-2;3,931632179E-3
8,420100000E0;-2,320471348E-2;3,936814706E-3
8,436755556E0;-2,321332487E-2;3,935318504E-3
8,453422222E0;-2,320779382E-2;3,941631752E-3
8,470077778E0;-2,321005729E-2;3,945687595E-3
8,486755556E0;-2,320475044E-2;3,945436143E-3
8,503400000E0;-2,320964093E-2;3,947530611E-3
8,520088889E0;-2,319711376E-2;3,933810132E-3
8,536733333E0;-2,320736427E-2;3,930492671E-3
