masse_A
t;x;y;frame
9,656500000E0;-1,624483979E2;3,631780618E2;5,780000000E2
9,673155556E0;-1,624622689E2;3,631488672E2;5,790000000E2
9,689822222E0;-1,622438948E2;3,630912953E2;5,800000000E2
9,706477778E0;-1,620742314E2;3,630880873E2;5,810000000E2
9,723155556E0;-1,619880350E2;3,630781587E2;5,820000000E2
9,739811111E0;-1,619377486E2;3,632631619E2;5,830000000E2
9,756466667E0;-1,617546970E2;3,633137883E2;5,840000000E2
9,773122222E0;-1,617408815E2;3,633429778E2;5,850000000E2
9,789788889E0;-1,617161193E2;3,632840483E2;5,860000000E2
9,806455556E0;-1,616817083E2;3,632443149E2;5,870000000E2
9,823166667E0;-1,618014081E2;3,631937193E2;5,880000000E2
9,839777778E0;-1,619232294E2;3,632197060E2;5,890000000E2
9,856444444E0;-1,619769463E2;3,630818177E2;5,900000000E2
9,873111111E0;-1,620574870E2;3,631127642E2;5,910000000E2
9,889766667E0;-1,621127129E2;3,630540853E2;5,920000000E2
9,906422222E0;-1,650000000E2;3,680000000E2;5,930000000E2
9,923100000E0;-1,650000000E2;3,690000000E2;5,940000000E2
9,939744444E0;-1,650086389E2;3,690751852E2;5,950000000E2
9,956411111E0;-1,651015845E2;3,690981973E2;5,960000000E2
9,973077778E0;-1,650453622E2;3,691736030E2;5,970000000E2
9,989755556E0;-1,650120671E2;3,691095763E2;5,980000000E2
1,000641111E1;-1,649878171E2;3,690849479E2;5,990000000E2
1,002310000E1;-1,649002529E2;3,690888029E2;6,000000000E2
1,003973333E1;-1,649377060E2;3,690914683E2;6,010000000E2
1,005640000E1;-1,649651798E2;3,690771143E2;6,020000000E2
1,007304444E1;-1,649747234E2;3,691755345E2;6,030000000E2
1,008972222E1;-1,649751520E2;3,691490531E2;6,040000000E2
1,010637778E1;-1,650251202E2;3,693135730E2;6,050000000E2
1,012304444E1;-1,650804023E2;3,693664755E2;6,060000000E2
1,013971111E1;-1,652186182E2;3,693409703E2;6,070000000E2
1,015636667E1;-1,651515561E2;3,696319687E2;6,080000000E2
1,017303333E1;-1,653015650E2;3,697972610E2;6,090000000E2
1,018970000E1;-1,652702040E2;3,699071205E2;6,100000000E2
1,020636667E1;-1,651683608E2;3,699674915E2;6,110000000E2
1,022303333E1;-1,652207565E2;3,700729994E2;6,120000000E2
1,023967778E1;-1,651390258E2;3,700525241E2;6,130000000E2
